id,P_infty
aggmyudnesbtvuqjyuftzlmzrrjhrv,0.02592506822604953
agissbpugllywllvyqngoaqtvvgbfh,0.0625981168109855
agitdxcuonyvigtvyxymjqrzavniwj,0.029943383727207902
agjlbukakpfhahoavekvgfmtzwupde,0.08673909495090386
aglfnldessbwdkpypoqnnqgywqlhty,0.038298758001343566
agnqpxboaztydflyfaxbtzyemdukyv,0.07930722479961247
agoeyojrfvwbicztnzhrvqkiqxrjvf,0.046662531038551586
agqfkzkxbuvbpesikgqryeqhfxymzc,0.04049925316641036
agsaoerqqdirffemtcdunstesmlbro,0.07726292598758412
agszljxxspxnyiuvpfujahamjsnqnr,0.07768758263650717
agszmpumivtsxsibwtewgquvctgiqs,0.045453665840483826
agtcbyujzfzvwmjofxsnqptnysaqvo,0.06953846671538788
agwueyhgqhipahgtvmqwaehzskawxn,0.05355530461390772
agyiwdyzuwcscgtgcfglwnqwusfyvo,0.06513935181345244
agzsaojihmwetaksmqkmrqxrcmwein,0.03586893626611005
agzxjdsrxwzgeawytivjzynssqzwwi,0.05449549087110564
ahaastysaaxdbktmzyslbffsezkrhl,0.04169815401373527
ahbjvftuekyfsqaczibkkcemlbpjgu,0.05171689955962835
ahdzrzsoeklfygzrqumworaojhiaon,0.07790549090096148
ahfppcgpowocdthdchklwtoyafteov,0.02073449976071211
ahhkntabomknsiupjkzjypbilxyiye,0.07993748530625706
ahifvtlqaffljcrbmanziturbjfwfs,0.05923215386511107
ahkgdbpicfhiumdaytdexzmydfgsay,0.04144063121226688
ahkgoqybtolmrbuwtqfszulblhuihj,0.04491710265508012
ahltavydrpvrmtkihvojiamoxrtbsb,0.05172964412155544
ahnnbhhfbdzxsrtjitycvalecgourh,0.05793699224490714
ahprdnukocjlpnuhkizyygyegvxyrl,0.053555375677946444
ahsnegxzxfiylebzezpjxcdhtkxiqu,0.039097984577560835
ahtoradtbrqyrarrhvssohghrjwwmw,0.06117403925912508
ahwfupkhykoqjxevytdsismsfpoldi,0.03730579716467498
ahyrcupntrfliwwcunkihykfezinfi,0.02057494715315101
aifuavjfnozrdszzuuqooezzgxhlql,0.02564817540345846
aigxtkentzjmxzfgvhtlhiaymvprat,0.038840385135074346
aiivtxmnoybsxxynzmntabcfcfqjlb,0.05687592809938889
aijtyyffvdlbhcukcqjutspttocqod,0.04080089018753877
ainfqnyqseqilztnvxptscmkmxragq,0.04419158815197991
aipozeejdryocavugoopdtqhuewmyg,0.041898927742980534
aiqmkgwywpmbbjxoelpugbomkoowxi,0.07936147913695504
airmvypnjmymforzonrqfkzlbphnix,0.03794200114704198
aisvfuvzzeuerauuymzzobzkdiirij,0.03346968601984857
aivfvuyhcrkoebgduydcdsdymouxjr,0.031711843742410546
aivpkarqvqscovfxcltwkpjmtziayl,0.07150807299829706
aivpokkaaeddcanmoaigwwqaxrdgym,0.07451445800140552
aiyphuiyyffsqoyveonluktbibcdlv,0.04715209620106651
ajddtqzfzngvoedelxudvpmlmtqaey,0.08095559672065146
ajhxovdjrjmdonjzswkdwvwxirqihe,0.016847706317123384
ajieggfewlruoabhaedbahvzjyhfnk,0.03484879282490522
ajrbgigujhapslwrgohmxpcqkmudvo,0.05053289824937753
ajsjaeikywicheoaovheuwlsufuuta,0.06211365292047315
ajttbwlkhiphclajeflopdeyqelzko,0.051148796886143856
ajwtbmgkidnvnxbsnskzvlmtbftsiu,0.041974112179988074
ajyteokyissvrgktsvunvlhdgotflo,0.054013395631480075
ajywtkjmcdbvxiopbaetewngbylmpv,0.028750031896890745
ajzqlvsmikznsdutcnhwcrldiyghyo,0.06448457205110077
akaiguklktfbahfqhzdvbdhamnncjx,0.07516950628258266
akdalqjatejtnzbbpaklfqjwkgycec,0.058230815174208
akfjkaacdnusxtysitnbszkpfobqqi,0.03273447371750998
akgzfvqptvvlhcabtotnnbfhlivywb,0.059260083862218954
akhemesqewtqpghjdzimmzdoigkioo,0.047922014478338236
akhzsichuqugufbfodpjaicczaqpjy,0.047441209376947784
akiyttdeeyfhcqrmhibfajmilhwxeg,0.0652537437280327
akjlefwvwhprhfcbrcxmaangamtfbv,0.03641829092724575
akmfmdfwpbhkrugapzrqwsxfoxidaq,0.06168746056528902
akmlfowommbmxrcepfzhbhqexsmvfi,0.03950972192128523
akmxgmybfcxtecnmmeloulktatwfar,0.04319633571478924
akotqrwbsgbleovtbfvsqivbinhxvs,0.03639986125443329
akvkfpwfptpvmpzmixxdkapbedczsd,0.07062808565141261
akvngubyggscxmoqjctuicldnoadno,0.043420950724541434
akvrtxpcpwoszuildsuqxdlctbtjdn,0.07110942525906463
akwebnbgknmzpmcncpazaswwoezlwo,0.06840857067521304
akzqnkgujhwmjptshgparzvbxjzdnd,0.05938216339528366
akzsrhlijpsgeetfupcggrylmlrttg,0.07211170743972924
aleezvzothsyggnemhiwhnmlnymtgw,0.032221433652427606
aleqmjupjdwbxakmwibtybmuxxbbmm,0.06827938820707088
alfomhvibljzdmalldiaccakpgxibk,0.054687535457235745
alhuwdgmjyinsaxpdzroddnpeiygcy,0.056856150855599204
allitguzmqfktvrvmcoyvdqytjmdbi,0.058579809454163634
almiumahvbjaqbnkjunnefukoqakkx,0.04678761889032612
alowyltdxwfqhujjtjmoukodjhndzf,0.04141336627552223
alqnkvivsrirncdkctftaqmgcpkerv,0.07035543440662707
alqwmbhlpmqdswbudgvpfgbxobcfzi,0.05573062321203144
alrcfjoyqmtbwvpvsgmdpihqfcfvbu,0.06631000360769582
alrptqvfqtybzghcganxawuyvcbuuq,0.05449054318874011
altqkednnkeyhglqmyygaghwgssfhk,0.05292014693295336
alunuzuqafswkscbvusyonihuqhdee,0.04852677482821067
alwdcnliwlisomacozgvqwqlxxzhar,0.06101425680496542
alxskgsaqscsznyltdqcdsyzmnnnsg,0.02820926997257727
alylaihpfzlfriqalgdvoipqvtczar,0.042315413210027505
alzojjubdydrpokejdkwlnxacbrehl,0.07108420592540013
amajtycalyzxeuzrswkqlrsaihnnbf,0.06079183801666328
ameegxmggoquywmyxwpebyguqsupiy,0.04934223887146189
amezagynuhfmnbxlydkvpuxsybpjok,0.05066425659614274
amfikezhpwdjrmcwvqfxjgjjlwfmxz,0.026208934163695855
amkcbqvoytczbpyfxewjahwodepuiz,0.06845082602637761
amkgcvxzlpwhnswgjatunfszecwsvx,0.06160633168704351
amkievnqxasjnshlhjsmofqhajsdfk,0.047672337039216174
amlnhgxlxhjclgrvzkxnsdwalfqpsr,0.0647046043251034
ammvyjwosnydmwmmdbzygjsytkygyk,0.02883086379746297
ammwuvysbpzduxehqicdechkmwjtlk,0.051061392580997116
amuawmypbzlagotsvlmdotaitglwhj,0.06328162062467729
amwaiifaedotvwprwnfzghklnborqk,0.056168401955100034
amxfwxivuppixkkfjwddrmcrzxsktj,0.02571994390453284
amyadhpvbdpjigbazlrlhfjgojgubz,0.045282230197588
amzkfhyvtwrwuznlydggvkfvidhohy,0.0310963479697533
anbprcggefbytzbcwdsrnnqyredibk,0.04659241459879256
anevsauijcodaljkkyuqttkbvlzqzr,0.06292612087900623
anfsbkjmqfsuvzzynprpaaxcupfijr,0.05327563495817311
anhcjjklguqvdmxzacqlpczvzuihth,0.04568366513743689
anirkibmvmabxqrrbavjxglaaewckr,0.04270605951039138
ankaknyimgaxnfrtvdgpctbedugxhm,0.03027276784308268
ankitzylhuridrmhmxfzgogximjizm,0.060104613949034144
ankmppawopyzoecomvbqonfvknvgnk,0.08245404860387223
anlgczhydkambvznafriojuawuuhwd,0.061573910669032665
anlpmlfpzzurloiilnearhtlvyfibd,0.046171833976129235
annctgoyeyjbmkxhhwpmdajfwppdaa,0.023397092641176
annybnckkqkssqsgqbrznnanswvwdb,0.050410971932550425
anozokyqvxlwpekosraeunbjfuhyap,0.07169717086449773
anqrxdqcaljevbziesrwipsrylabif,0.0813021912264748
anrllntrgzzajkxarrjlmzoyxqcois,0.05755914184418929
ansdogtxbazknehtymsfjxrjbrkswl,0.04754490322632958
anurkficjgwurfdhqbfmzuqctldzsd,0.0458595985147267
anwjvuekzmezwafqasnwetumfakypm,0.06419587033563372
anyqfxhjmfufkjqlwzvwiikwinouga,0.05673555714725338
aoaievuyoorpbkmakcupvdzitvbbxr,0.05165426716980422
aobhkowsigienxysnlvoynzmmkygat,0.06716597143347185
aocbgpewjaajqueyigtibpmwiqtqzm,0.03032128688018605
aohbksucejckysoeszulcbidyoqavf,0.05846668488948449
aokiiwnzbtippryosvfqesragqgznn,0.01761702859302602
aolcqnbzrykdkmqzmjvrlnkrusmmya,0.06753924851869722
aolffhpvbujddnqdpchebwqsyqlbty,0.048219777483794905
aomkznxucsjlsjafotxdxdpicobrbe,0.05109555608746686
aooczgxdrciyxzoazeozkjtogdgnar,0.04705799794065491
aorfednpobtwhbfuxioplpfvonrlik,0.07194998945403579
aotxfzixvbhuejrccjplsfgwjfynro,0.019798198558401855
aotzqwbnjwzmglelmfyjlosfdcdqcz,0.054421370313088115
aouguhugvyreyqbronotqgprngswvp,0.03328668046659702
aoukkgtvoreufktoajsqnnmhisgytp,0.056605854673038365
aoxoggksblksqbgnlujpswfkkacznd,0.04402759224437237
aoxsndlhswsvscublvrwctgfkcussx,0.03815780678861101
aoyylgfszabumjhzimzqcbvxuvrttg,0.06430260535325429
aozmqycobmjdcvkvqlvnoiaqvcndth,0.06423427461135367
aphmnndxpbhhbyynuepxpqcqsxbkrn,0.04378996304136553
apkifmxaqlgbkfbaukdvnpfmhfldlj,0.06309796100540266
apkvwtlpzixspemkhiuqzkmxmwkbjh,0.04274416470773882
apmjhcfjfntymqgnzmdcbkrdabkkjs,0.0329499195872995
apmonhxdzrjeyuhdwnoqytzbsnwjnj,0.02919080906680271
apodddhdkxvvdadkzzlhytnkvbnqna,0.03516436466227648
apprhfjuvlpjxjxvtwibplnzcrlypw,0.049705660946137147
apqspsnnncffjpxmxsfzltjakaaxzc,0.06639653023825175
aprhoeldazldmjlclmpdrsrngbkpfo,0.0504631773857889
aptgqwtcnuawwttpshuzceqysywrnn,0.059936639748275095
