id,P_infty
aabgnudjhzpzqtalwcffyircwwncun,0.2317765222639555
aabhigsyihsdnkiursfvtjnytltnat,0.21162689790556405
aacbdwyljcwrraeixnquweivahqxfk,0.19148917378542316
aadddqufembzxpoverilhvdtorjnpw,0.17050215313467282
aadjrxtredbsxlxovzqqtazpcrkihk,0.14648879475900062
aafoigxirzgmsfkmrciwzqnkcyhclu,0.15201218090279656
aahrmjewqgpydddhtnkomgypeagzld,0.18061789819617935
aanbjmzqqabjtgaxttszaubqhbroqu,0.22800677435891367
aanuflccwmycoobrfybhcxuxmhmejs,0.12733859012895007
aanxaamwxynqcaglguzcnuhnhoonpi,0.19027199266938122
aasnzvlawdtccksbuzotrnoggozvem,0.1874124714545012
aavvmotgjiuhwesakdmrgwxsexzuzu,0.16955427508048648
aawgyicaurlknimnqhsmclggmfwgdn,0.18241597574541685
aawqjvdfjqupzswlbezaledbawpmfx,0.14381804205894738
aaxbgcrnihjjskxisfaxsysrdfwfsw,0.14640124759611442
aaxhojnumzkpindaavfxcqqlifyoih,0.12280271542290536
abbqrjcyrtgwagpyxwrtukqhnxkyuu,0.1343188490854691
abfaxmejakaxdxchvwhsbujrjgenzw,0.18539476996419643
abiseeoznrherrbqobuanpuquqjnnw,0.18065292339516945
abjiwppmsmlpmxxloijqttcexilpgw,0.146129121650004
abjmkkachcztgobryvsfbjpxfzcxla,0.20493629527099172
ablvegbqrbzznnphoooxkvospexjmf,0.16456873359377383
abmkzakkpfwneomccvzqituzxwjxeh,0.1708636570070556
absiwzfoeesehlvtsnqcwdufohfnqa,0.19391388409833002
absxkinwuepdbgkipfpwddvehqlnnw,0.16117910446972042
abuivagluwhgggeiykpouunhlttpct,0.17033402151602303
abyispilvwspwderdtblyhirwqidsf,0.15277569509519726
abyswljrnqbeqbmzticjitekvjdzrl,0.14232188574080823
acbhskilcqgmnbqvhgsexuvdwcycvr,0.19571861598801063
accirdhijohgdcquthfdwsouhqmyne,0.20373127878569852
accuurwejqmecnugvbddbshheidsoz,0.18563921279812884
acdevthskwovumzcrdfmseaywozoph,0.17690541062390708
acittvfombskctqlidlxfotlvwmeki,0.17323493351925925
ackcdqvatfvqaexatufmgqtruweicm,0.17092425708368963
ackgciqtwtvydvovaxoghzocpsgwgi,0.19569649599251518
ackkczcnpvusklkqfrnhocjyiaqsjd,0.1563313343651311
aclafnfowgusgqzcmjcflmyrjrxnft,0.15179430577741493
aclpxtupfrazztpkvbonxoeplbsegk,0.19804194140933898
acqvvtwwsfjzqfuxrcohlviekpmqqj,0.1187532358391954
acrptbvutrzlvgtohhjwlnyaaqvwoh,0.16357771212765349
actwcieyydtmofdfsxbqpomsvmvapt,0.23782182323031353
acywjkypzwopetpoikesvadunyuxwl,0.15037886767987677
aczqmsdnnyzahqpibywdzxbsvosepc,0.16553013948133222
aczqpffknooqdgukbpyhdkhvtrxext,0.20975881303046887
adahechmcyikcjmatzyzmjlmaocnxo,0.20839387002134122
adbmmfnirqupwuryqxfnmzrxnmlcjp,0.14469226311240296
adejxbzwsrxqmasvmcvzbrzdozcsqf,0.14232244603547087
adeqeqcozonrlkrluwlnweyznraypq,0.2174491723763944
adfskuqzizddmbwkhgfnvaynzayopl,0.212225002078579
adfxvjrrlsllkiskheoskypuiyowxw,0.22908302536799255
adhrnpbhhltkvqdcobmkhkxouffjur,0.19055712099939842
adiihcowlxoyzcrqghoupuwsmrtchs,0.21817428841984496
adjiockgaeaqnsunhdlfjzlygxpemy,0.18860873164774217
adkvclmpntvaxloyxcujusbqsraaoj,0.1669359419851543
adlnvjacrdkaqanynjawjqbwlwjdrz,0.1355386288302241
admorshqtjxskbjklpgekirqallgoq,0.24178765102731486
adpogeplcikbrgacrghhwgmdbavoiv,0.23787111948778908
adtbcwkmxgarueqllovzfqmjfffzes,0.17851850206375072
adttnoztyslqaafftmuvlqathkoqej,0.15608710605384954
advcjbrrbjwmmcisczqvpjcyspbzjj,0.15997140163985768
advonxykydvsujgymxiwklfmvmtuob,0.14548308931005938
adxbabxinwcaqvdaptunkottcdjqhb,0.17943715851231934
adyexyajpeeytfrmvcqibhauixcidq,0.13858772631478494
adzczijqhrqluvwudtysknvapwrafz,0.1935325494329691
aecdxnkhuuareocxhrtpwmvdmjhbpi,0.222310947283143
aegmkbozotdtwhwcpylvoqydkjhjil,0.18306309203963628
aegqndffynjrggadrwhmmyjgmvdfwe,0.19610835811936628
aegwnpwienhvvjfmbrqtwvsrxoobge,0.20302488636749189
aejitewmkeatwyogpyygxkyktcdszo,0.1897518524161802
aejwvgjuatrhsbriorirhkrsgahuuv,0.1899663105039024
aekztrbskisgpdflosyxcvebrequdo,0.21060088251105072
aelciexorkatdofhaylbxejgtnabjt,0.19016647655758911
aenxgsyictwvhoxjrwrcgezpiomoaq,0.18905013538609788
aeoenduixlzrelnmtqrgctbwgzctna,0.16265703291737985
aeoqdbqelujxusueolphelquoxdlzh,0.1451451974000035
aeoylhkvtvubqcztkrmyyyrphkzuka,0.12114902047086389
aepaegwehlyiorfnhhnxumlnfrmurj,0.11726054347224867
aepzaveouifxiuyrfpeishgoljorie,0.20795754477093945
aeqtxkrsnwtgihqyyrpeqboswnvmbc,0.15847029373957533
aevyguzfaqbyxpbrzxyskxmvapnppv,0.19335736120665772
aezrhaisduppgbszlbwlmzvkuavstr,0.16733129658922807
afbeiduunorkvckfogktwtpktuewix,0.18505877796003276
afcrotwwexhcogrtucyuuiwdatsons,0.16935101582646384
affcthuesmpudrhgdxoqdaphtxreka,0.20155521664321024
affxxomyfafnfesgqyhbvembvvhlvc,0.24849862811786602
afghkwdfsmqhihbewowwwpxrznhhvb,0.16678333562794298
afgsvasoqyiidgauogvycoazperixf,0.15970171381228604
afgwdfqiylhilizokdmydvrhymhssg,0.2293123479886625
afjuxwswyxznmjrsoagpbvxeiqqpqs,0.1786428886899402
aflrtvwmrevbuiqoatezlhozjqhccj,0.20692632790666463
afmrmtenepapldpathzqprbxcvrizm,0.19868471976466748
afntwcfltsarmhekzfwsfnabaqsmmh,0.17090869945613987
afovgshctynvgfwszxoadwsykmvgof,0.18078159253887313
afraamdhmvqrwmwibayqpmdgbdsdhw,0.18268173096240503
afrpfwiirwqaihughwfpssamozhgqq,0.12785860990028652
aftpkybtuhmkaixnqwpoggygjiysxz,0.15549172191281935
aftsfaxiimuczefhxzaazlejqggmmj,0.206877592115301
afxfuolqogffeacynzbgvuqhcrpifk,0.1608593276332524
afxxxcrtazkpzkqwywbupddipgorqx,0.21742788594620865
agbceirbmqserykrzzohkpggdjmnkz,0.17934514702186014
agcrnnqihfqjuekjrvepdrxwpfypvf,0.16873910794702462
agnxyilbflrrsufnwzeyeuzuojuvjd,0.17704268759407565
agogulagxurozzjrtwtgbmpiuwyjlg,0.17901224293374957
agtnrixmilxnnojqrwyxrfvfllmypw,0.15576493143356146
ahgpigkaquqdvtqgsppsjtycshsets,0.15528705970316997
ahgppijuosjeyysflxfgompehavqtd,0.1841426190252983
ahgxvvaizshrvcevlvpenfuoggjlcb,0.19032151738584624
ahhcdvdglbqolengjbspdfsxnyzype,0.18915769065370455
ahiqclxznqmvatwrnucjapgypgxdea,0.2663639019589509
ahjzmonoizyvmdedfxhyrocsarfkme,0.16723026688257783
ahlfngfxckvibgtcszesovfxdyifpu,0.1594283301267994
